b,d,n,r,u,c,a,q,domain,f,P,t,p
CP,gaia.com,Gaia,L,https://mediabiasfactcheck.com/gaia/,L,H,[],gaia.com,,59.0,,
LC,gainesville.com,Gainesville Sun,H,https://mediabiasfactcheck.com/gainesville-sun/,H,M,[],gainesville.com,GainesvilleSun,63.0,gainesvillesun,
FN,galesburgreporter.com,Galesburg Reporter,M,https://mediabiasfactcheck.com/galesburg-reporter/,L,L,"['LT', 'FC', 'IM']",galesburgreporter.com,,,,
C,gallup.com,Gallup,VH,https://mediabiasfactcheck.com/gallup/,H,H,[],gallup.com,gallup,89.0,Gallup,
RC,galvnews.com,Galveston County Daily News,H,https://mediabiasfactcheck.com/galveston-county-daily-news-bias/,H,M,[],galvnews.com,,,,
C,gardnernews.com,Gardner News,H,https://mediabiasfactcheck.com/gardner-news-bias/,H,L,[],gardnernews.com,,,,
L,gawker.com,Gawker,M,https://mediabiasfactcheck.com/gawker-bias/,M,M,[],gawker.com,,,,
L,gaycitynews.com,Gay City News,H,https://mediabiasfactcheck.com/gay-city-news-bias/,H,L,[],gaycitynews.com,,,,
L,gaystarnews.com,Gay Star News,M,https://mediabiasfactcheck.com/gay-star-news/,M,M,[],gaystarnews.com,GayStarNews?utm,74.0,,
RC,gazette.com,Colorado Springs Gazette,H,https://mediabiasfactcheck.com/colorado-springs-gazette/,H,M,[],gazette.com,springsgazette,79.0,csgazette,
LC,gazettenet.com,Daily Hampshire Gazette,H,https://mediabiasfactcheck.com/daily-hampshire-gazette/,H,M,[],gazettenet.com,,,,
C,gazettetimes.com,Corvallis Gazette-Times,H,https://mediabiasfactcheck.com/corvallis-gazette-times-bias/,H,M,[],gazettetimes.com,,,,
FN,gbnews.uk,GB News UK,M,https://mediabiasfactcheck.com/gb-news-uk-bias/,L,H,"['C', 'P', 'LT', 'FFC', 'FC', 'M', 'PSE']",gbnews.uk,,,,
C,gbtimes.com,GBTimes,M,https://mediabiasfactcheck.com/gbtimes/,M,N,[],gbtimes.com,unknownchina.gbtimes,63.0,GBTIMES,
C,gearsofbiz.com,Gears of Biz,H,https://mediabiasfactcheck.com/gears-of-biz/,H,N,[],gearsofbiz.com,,35.0,,
FN,gellerreport.com,Geller Report,L,https://mediabiasfactcheck.com/geller-report/,L,M,"['C', 'P', 'FFC', 'H', 'FN']",gellerreport.com,pamelageller,67.0,PamelaGeller,
FN,gemstatewire.com,Gem State Wire,M,https://mediabiasfactcheck.com/gem-state-wire/,L,L,"['LT', 'FC', 'IM']",gemstatewire.com,,,,
CP,gender.news,Gender.news,VL,https://mediabiasfactcheck.com/gender-news-bias/,L,L,[],gender.news,,,,
S,genesiustimes.com,Genesius Times,,https://mediabiasfactcheck.com/genesius-times/,NA,L,[],genesiustimes.com,,31.0,,
PS,geneticliteracyproject.org,Genetic Literacy Project,H,https://mediabiasfactcheck.com/genetic-literacy-project/,H,M,[],geneticliteracyproject.org,GeneticLiteracyProject,67.0,GeneticLiteracy,
FN,genzconservative.com,Gen Z Conservative,M,https://mediabiasfactcheck.com/gen-z-conservative/,L,M,"['C', 'P', 'PS', 'LT', 'FC']",genzconservative.com,,23.0,,
RC,geo.tv,GEO TV (Pakistan),M,https://mediabiasfactcheck.com/geo-tv-pakistan/,M,H,[],geo.tv,,,,
CP,geoengineering.news,Geoengineering.News,VL,https://mediabiasfactcheck.com/geoengineering-news/,L,L,[],geoengineering.news,,37.0,,
CP,geopolitics.co,Covert Geopolitics,M,https://mediabiasfactcheck.com/covert-geopolitics/,L,L,[],geopolitics.co,CovertGeopolitics,49.0,Geopolitics101,
L,geopoliticsalert.com,Geopolitics Alert,M,https://mediabiasfactcheck.com/geopolitics-alert/,M,L,[],geopoliticsalert.com,geopoliticsalert,37.0,gpworldnews,
FN,georgiamountainnews.com,Georgia Mountain News,M,https://mediabiasfactcheck.com/georgia-mountain-news/,L,L,"['LT', 'FC', 'IM']",georgiamountainnews.com,,,,
CP,getcancerremedies.com,GetCancerRemedies.com,L,https://mediabiasfactcheck.com/getcancerremedies-com/,L,N,[],getcancerremedies.com,,7.0,,
CP,getholistichealth.com,Get Holistic Health,L,https://mediabiasfactcheck.com/get-holistic-health/,L,L,[],getholistichealth.com,,41.0,,
R,getreligion.org,Get Religion,MF,https://mediabiasfactcheck.com/get-religion/,M,L,[],getreligion.org,783855012,65.0,,
FN,gettr.com,GETTR,L,https://mediabiasfactcheck.com/gettr/,L,H,"['C', 'P', 'PS']",gettr.com,,,,
L,ghionjournal.com,The Ghion Journal,MF,https://mediabiasfactcheck.com/the-ghion-journal/,M,L,[],ghionjournal.com,GhionJournal,35.0,GhionJournal,
FN,ghost.report,Ghost.Report,M,https://mediabiasfactcheck.com/ghost-report/,L,N,"['C', 'P']",ghost.report,,22.0,,
FN,girlsjustwannahaveguns.com,Girls Just Wanna Have guns,L,https://mediabiasfactcheck.com/girls-just-wanna-have-guns/,L,L,"['P', 'LT']",girlsjustwannahaveguns.com,girlsjustwannahaveguns,42.0,regisgiles,
L,gizmodo.com,Gizmodo,H,https://mediabiasfactcheck.com/gizmodo/,H,H,[],gizmodo.com,gizmodo,96.0,gizmodo,
L,glaad.org,GLAAD,H,https://mediabiasfactcheck.com/glaad/,H,M,[],glaad.org,,,,
C,gladstonedispatch.com,Gladstone Dispatch,H,https://mediabiasfactcheck.com/gladstone-dispatch-bias/,H,L,[],gladstonedispatch.com,,,,
LC,glamour.com,Glamour Magazine,H,https://mediabiasfactcheck.com/glamour-magazine/,H,H,[],glamour.com,glamour,92.0,glamourmag,
CP,glitch.news,Glitch.News,VL,https://mediabiasfactcheck.com/glitch-news/,L,L,[],glitch.news,,36.0,,
FN,globalinfotoday.com,Global Info Today,L,https://mediabiasfactcheck.com/global-info-today/,L,N,[],globalinfotoday.com,,11.0,,
LC,globalnews.ca,Global News,H,https://mediabiasfactcheck.com/global-news/,H,H,[],globalnews.ca,,90.0,globalnews,
FN,globalpoliticsnow.com,Global Politics Now,L,https://mediabiasfactcheck.com/global-politics-now/,L,N,[],globalpoliticsnow.com,,15.0,,
LC,globalrealnews.com,Global Real News,M,https://mediabiasfactcheck.com/global-real-news/,M,L,[],globalrealnews.com,,28.0,,
LC,globalriskinsights.com,Global Risk Insights,H,https://mediabiasfactcheck.com/global-risk-insights-gri/,H,L,[],globalriskinsights.com,,52.0,,
CP,globalskywatch.com,Global Skywatch,L,https://mediabiasfactcheck.com/global-skywatch/,L,L,[],globalskywatch.com,,,,
FN,globaltimes.cn,Global Times,M,https://mediabiasfactcheck.com/global-times-china/,L,H,[],globaltimes.cn,,91.0,,
L,globalvoices.org,Global Voices,H,https://mediabiasfactcheck.com/global-voices/,H,M,[],globalvoices.org,globalvoicesonline,70.0,,
C,globegazette.com,Globe Gazette (Iowa),H,https://mediabiasfactcheck.com/globe-gazette-iowa/,H,M,[],globegazette.com,mcglobegazette,73.0,globegazette,
FN,globemagazine.com,Globe Magazine,VL,https://mediabiasfactcheck.com/globe-magazine/,L,L,['FN'],globemagazine.com,,60.0,,
LC,gmanetwork.com,GMA Network,M,https://mediabiasfactcheck.com/gma-network-bias/,M,H,[],gmanetwork.com,,,,
CP,gmo.news,GMO.News,VL,https://mediabiasfactcheck.com/gmo-news/,L,L,[],gmo.news,,42.0,,
CP,gmowatch.com,GMO Watch,M,https://mediabiasfactcheck.com/gmo-watch-bias/,L,L,[],gmowatch.com,,,,
CP,gmwatch.org,GMWatch,M,https://mediabiasfactcheck.com/gmwatch/,L,L,[],gmwatch.org,,52.0,,
FN,gnews.org,Gnews,L,https://mediabiasfactcheck.com/gnews/,L,M,"['C', 'P', 'PS', 'LT', 'FFC', 'FC', 'M', 'FN', 'PSE']",gnews.org,,42.0,,
C,godanriver.com,Danville Register & Bee,H,https://mediabiasfactcheck.com/danville-register-bee-bias/,H,L,[],godanriver.com,,,,
FN,godfatherpolitics.com,Godfather Politics,M,https://mediabiasfactcheck.com/godfather-politics/,L,L,"['C', 'P', 'M']",godfatherpolitics.com,godfatherpolitics,58.0,,
CP,godlikeproductions.com,Godlike Productions,L,https://mediabiasfactcheck.com/godlike-productions/,L,M,[],godlikeproductions.com,,70.0,,
FN,goldcountrytoday.com,Gold Country Today,M,https://mediabiasfactcheck.com/gold-country-today/,L,L,"['LT', 'M', 'IM']",goldcountrytoday.com,,2.0,,
FN,goldenstatetoday.com,Golden State Today,M,https://mediabiasfactcheck.com/golden-state-today/,L,L,"['LT', 'M', 'IM']",goldenstatetoday.com,,4.0,,
S,gomerblog.com,Gomer Blog,,https://mediabiasfactcheck.com/gomer-blog/,NA,L,[],gomerblog.com,Gomerblog,50.0,,
FN,goneleft.com,Gone Left,L,https://mediabiasfactcheck.com/gone-left/,L,N,[],goneleft.com,,11.0,,
L,goodmenproject.com,The Good Men Project,H,https://mediabiasfactcheck.com/the-good-men-project/,H,M,[],goodmenproject.com,,,,
FN,goodsciencing.com,Real Science (Goodsciencing.com),VL,https://mediabiasfactcheck.com/real-science-goodsciencing-com-bias/,L,L,"['P', 'PS', 'LT', 'FFC', 'FC', 'M', 'PSE']",goodsciencing.com,,,,
CP,goop.com,Goop.com,L,https://mediabiasfactcheck.com/goop/,L,M,[],goop.com,,87.0,,
FN,gop.com,Republican National Committee (RNC),M,https://mediabiasfactcheck.com/gop-com/,L,H,"['P', 'FFC', 'FC', 'M']",gop.com,,71.0,,
FN,gopdailybrief.com,GOP Daily Brief,M,https://mediabiasfactcheck.com/gop-daily-brief-bias/,L,M,"['C', 'P', 'PS', 'FFC']",gopdailybrief.com,,,,
R,gopusa.com,GOPUSA,MF,https://mediabiasfactcheck.com/gopusa/,M,M,[],gopusa.com,gopusa,64.0,,
LC,gothamist.com,Gothamist,H,https://mediabiasfactcheck.com/gothamist/,H,M,[],gothamist.com,,87.0,,
FN,gotnews.com,GotNews,L,https://mediabiasfactcheck.com/gotnews/,L,N,[],gotnews.com,,56.0,,
CP,gotquestions.org,Got Questions,L,https://mediabiasfactcheck.com/got-questions-gotquestions-org/,L,H,[],gotquestions.org,gotquestions.org,84.0,gotquestions,
LC,governing.com,Governing Magazine,H,https://mediabiasfactcheck.com/governing-magazine/,H,M,[],governing.com,governing,77.0,governing,
C,govtrack.us,GovTrack,H,https://mediabiasfactcheck.com/govtrack/,H,M,[],govtrack.us,govtrack,82.0,GovTrack,
CP,govtslaves.com,Government Slaves,L,https://mediabiasfactcheck.com/government-slaves/,L,N,[],govtslaves.com,,32.0,,
RC,gp.se,Goteborgs-Posten,MF,https://mediabiasfactcheck.com/goteborgs-posten/,H,H,[],gp.se,,69.0,,
FN,grainoftruth.ca,Grain of Truth,VL,https://mediabiasfactcheck.com/grain-of-truth/,L,N,"['C', 'P', 'PS', 'LT', 'H']",grainoftruth.ca,,18.0,,
FN,grandcanyontimes.com,Grand Canyon Times,M,https://mediabiasfactcheck.com/grand-canyon-times/,L,L,"['LT', 'M', 'IM']",grandcanyontimes.com,,4.0,,
RC,grandforksherald.com,Grand Forks Herald,H,https://mediabiasfactcheck.com/grand-forks-herald-bias/,H,M,[],grandforksherald.com,,,,
FN,grandjunctiontimes.com,Grand Junction Times,M,https://mediabiasfactcheck.com/grand-junction-times/,L,L,"['LT', 'M', 'IM']",grandjunctiontimes.com,,,,
L,gravelinstitute.org,The Gravel Institute,M,https://mediabiasfactcheck.com/gravel-institute-bias/,M,L,[],gravelinstitute.org,,,,
FN,greatamericandaily.com,Great American Daily,L,https://mediabiasfactcheck.com/great-american-daily/,L,M,"['C', 'P', 'PS', 'LT', 'H']",greatamericandaily.com,,35.0,,
R,greatamericanpolitics.com,Great American Politics,M,https://mediabiasfactcheck.com/great-american-politics/,M,L,[],greatamericanpolitics.com,greatamericanpolitics,31.0,,
FN,greatamericanrepublic.com,Allen West Republic,L,https://mediabiasfactcheck.com/allen-west-republic/,L,N,[],greatamericanrepublic.com,AllenWestRepublic,38.0,GreatAmRepublic,
CP,greatreject.org,GreatReject,VL,https://mediabiasfactcheck.com/greatreject/,L,L,"['C', 'M', 'PSE']",greatreject.org,,,,
RC,greeleytribune.com,Greeley Tribune,H,https://mediabiasfactcheck.com/greeley-tribune/,H,M,[],greeleytribune.com,,,,
RC,greenfieldreporter.com,Greenfield Daily Reporter,H,https://mediabiasfactcheck.com/greenfield-daily-reporter-bias/,H,L,[],greenfieldreporter.com,,,,
CP,greenmedinfo.com,GreenMedInfo,L,https://mediabiasfactcheck.com/greenmedinfo/,L,M,[],greenmedinfo.com,,62.0,,
LC,greensboro.com,Greensboro News and Record,H,https://mediabiasfactcheck.com/greensboro-news-and-record/,H,M,[],greensboro.com,,,,
LC,greentechmedia.com,Greentech Media,H,https://mediabiasfactcheck.com/greentech-media/,H,L,[],greentechmedia.com,greentechmedia,77.0,greentechmedia,
RC,greenvilleadvocate.com,Greenville Advocate,H,https://mediabiasfactcheck.com/greenville-advocate-bias/,H,L,[],greenvilleadvocate.com,,,,
LC,grid.news,Grid News,H,https://mediabiasfactcheck.com/grid-news/,H,M,[],grid.news,,,,
RC,griffindailynews.com,Griffin Daily News,H,https://mediabiasfactcheck.com/griffin-daily-news-bias/,H,L,[],griffindailynews.com,,,,
FN,gript.ie,Gript.ie,M,https://mediabiasfactcheck.com/gript-ie-bias/,L,M,"['PS', 'LT', 'FFC', 'PSE']",gript.ie,,,,
LC,grist.org,Grist,H,https://mediabiasfactcheck.com/grist/,H,M,[],grist.org,grist.org,87.0,grist,
L,gritpost.com,Grit Post,H,https://mediabiasfactcheck.com/grit-post/,H,N,[],gritpost.com,gritpost,35.0,,
C,ground.news,Ground News,MF,https://mediabiasfactcheck.com/ground-news/,H,H,[],ground.news,,,,
C,group30.org,Group of Thirty,H,https://mediabiasfactcheck.com/group-of-thirty/,H,N,[],group30.org,,45.0,,
FN,grundyreporter.com,Grundy Reporter,M,https://mediabiasfactcheck.com/grundy-reporter-bias/,L,L,"['LT', 'M', 'IM']",grundyreporter.com,,,,
FN,grunge.com,Grunge.com,M,https://mediabiasfactcheck.com/grunge/,L,H,['M'],grunge.com,,54.0,,
L,guardianlv.com,Guardian Liberty Voice,MF,https://mediabiasfactcheck.com/guardian-liberty-voice/,M,L,[],guardianlv.com,,69.0,,
RC,guardonline.com,Batesville Daily Guard,H,https://mediabiasfactcheck.com/batesville-daily-guard-bias/,H,L,[],guardonline.com,,,,
FN,gucmakale.com,Gucmakale.com,M,https://mediabiasfactcheck.com/gucmakale-com/,L,L,"['PS', 'LT']",gucmakale.com,,17.0,,
LC,guelphmercury.com,Guelph Mercury Tribune,H,https://mediabiasfactcheck.com/guelph-mercury-tribune-bias/,H,L,[],guelphmercury.com,,,,
CP,gulagbound.com,Gulag Bound,L,https://mediabiasfactcheck.com/gulag-bound/,L,N,[],gulagbound.com,GulagBound,55.0,ArlenWms,
FN,gulfnews.com,Gulf News,M,https://mediabiasfactcheck.com/gulf-news/,L,H,"['P', 'PS', 'LT', 'FFC', 'CEN']",gulfnews.com,GulfNews.UAE,91.0,,
LC,guttmacher.org,Alan Guttmacher Institute,H,https://mediabiasfactcheck.com/alan-guttmacher-institute/,H,M,[],guttmacher.org,guttmacher,78.0,Guttmacher,
L,haaretz.com,Haaretz,H,https://mediabiasfactcheck.com/haaretz/,H,H,[],haaretz.com,haaretzcom,92.0,haaretzcom,
FN,hagmannreport.com,Hagmann Report,L,https://mediabiasfactcheck.com/the-hagmann-report/,L,M,"['C', 'P', 'PS', 'M']",hagmannreport.com,,,,
S,halfwaypost.com,The Halfway Post,,https://mediabiasfactcheck.com/the-halfway-post/,NA,L,[],halfwaypost.com,thehalfwaypost,25.0,,
C,halifax.citynews.ca,CityNews Halifax,H,https://mediabiasfactcheck.com/citynews-halifax-bias/,H,H,[],halifax.citynews.ca,,,,
FN,halturnerradioshow.com,Hal Turner Radio Show,VL,https://mediabiasfactcheck.com/hal-turner-radio-show/,L,M,"['C', 'P', 'PS', 'FFC', 'H']",halturnerradioshow.com,,,,
C,hamburgreporter.com,Hamburg Reporter,H,https://mediabiasfactcheck.com/hamburg-reporter-bias/,H,L,[],hamburgreporter.com,,,,
C,hanfordsentinel.com,Hanford Sentinel,H,https://mediabiasfactcheck.com/hanford-sentinel-bias-rating/,H,L,[],hanfordsentinel.com,,63.0,,
FN,hannity.com,Hannity.com,L,https://mediabiasfactcheck.com/hannity-com/,L,M,"['C', 'P', 'PS', 'FFC', 'FC', 'M', 'PSE']",hannity.com,,83.0,,
L,happy-foxie.com,Happy Foxie,M,https://mediabiasfactcheck.com/happy-foxie/,M,N,[],happy-foxie.com,,30.0,,
S,harddawn.com,Hard Dawn,,https://mediabiasfactcheck.com/hard-dawn/,NA,N,[],harddawn.com,OpenSocietyFoundations,32.0,,
FN,hardnews.network,Hard News,M,https://mediabiasfactcheck.com/hard-news/,L,N,[],hardnews.network,HardNewsNetwork,25.0,,
FN,harfordnews.com,Harford News,M,https://mediabiasfactcheck.com/harford-news-bias/,H,L,"['LT', 'FC', 'IM']",harfordnews.com,,,,
LC,harpers.org,Harper's Magazine,H,https://mediabiasfactcheck.com/harpers/,H,M,[],harpers.org,HarpersMagazine,81.0,harpers,
L,harpersbazaar.com,Harper's Bazaar,H,https://mediabiasfactcheck.com/harpers-bazaar-bias/,H,H,[],harpersbazaar.com,,,,
FN,hartfordreporter.com,Hartford Reporter,M,https://mediabiasfactcheck.com/hartford-reporter/,L,L,"['LT', 'FC', 'IM']",hartfordreporter.com,,,,
LC,harvardpolitics.com,Harvard Political Review,H,https://mediabiasfactcheck.com/harvard-political-review/,H,L,[],harvardpolitics.com,,49.0,,
C,hastingstribune.com,Hastings Tribune,H,https://mediabiasfactcheck.com/hastings-tribune/,H,L,[],hastingstribune.com,,,,
C,hawaiinewsnow.com,KHNL - Hawaii News Now,H,https://mediabiasfactcheck.com/khnl-hawaii-news-now-bias/,H,H,[],hawaiinewsnow.com,,,,
LC,hawaiitribune-herald.com,Hawaii Tribune-Herald,H,https://mediabiasfactcheck.com/hawaii-tribune-herald-bias/,H,M,[],hawaiitribune-herald.com,,,,
FN,hawkeyereporter.com,Hawkeye Reporter,M,https://mediabiasfactcheck.com/hawkeye-reporter-bias/,L,L,"['LT', 'FC', 'IM']",hawkeyereporter.com,,,,
C,hbr.org,Harvard Business Review,H,https://mediabiasfactcheck.com/harvard-business-review/,H,H,[],hbr.org,HBR,94.0,HarvardBiz,
LC,hcn.org,High Country News,H,https://mediabiasfactcheck.com/high-country-news/,H,M,[],hcn.org,highcountrynews,74.0,highcountrynews,
S,headlinennews.com,Headline News Network,,https://mediabiasfactcheck.com/headline-news-network/,NA,N,[],headlinennews.com,headlinenewsnetwork,10.0,,
FN,headlineusa.com,Headline USA,M,https://mediabiasfactcheck.com/headline-usa-bias/,L,M,"['C', 'P', 'PS', 'LT']",headlineusa.com,,,,
FN,headtopics.com,Head Topics,M,https://mediabiasfactcheck.com/head-topics/,L,M,"['PS', 'LT']",headtopics.com,,44.0,,
CP,healingfoodreference.com,Healing Food Reference,VL,https://mediabiasfactcheck.com/healing-food-reference/,L,L,[],healingfoodreference.com,,29.0,,
CP,healingoracle.ch,Healing Oracle,VL,https://mediabiasfactcheck.com/healing-oracle/,L,N,[],healingoracle.ch,,34.0,,
PS,healio.com,Healio,H,https://mediabiasfactcheck.com/healio/,H,M,[],healio.com,,58.0,,
CP,health.news,Health.News,VL,https://mediabiasfactcheck.com/health-news/,L,L,[],health.news,,43.0,,
PS,healthaffairs.org,Health Affairs Journal,VH,https://mediabiasfactcheck.com/health-affairs-journal/,H,M,[],healthaffairs.org,,,,
CP,healthandmoneynews.wordpress.com,Health and Money News,VL,https://mediabiasfactcheck.com/health-and-money-news/,L,N,[],healthandmoneynews.wordpress.com,,24.0,,
C,healthcarefinancenews.com,Healthcare Finance News,H,https://mediabiasfactcheck.com/healthcare-finance-news/,H,L,[],healthcarefinancenews.com,,67.0,HC_Finance,
PS,healthdata.org,Institute for Health Metrics and Evaluation (IHME),H,https://mediabiasfactcheck.com/institute-for-health-metrics-and-evaluation-healthdata-org/,H,M,[],healthdata.org,,54.0,,
CP,healtheternally.com,Health Eternally,M,https://mediabiasfactcheck.com/health-eternally/,L,N,[],healtheternally.com,,27.0,,
PS,healthfeedback.org,Health Feedback,VH,https://mediabiasfactcheck.com/health-feedback/,H,M,[],healthfeedback.org,,43.0,,
CP,healthimpactnews.com,Health Impact News,VL,https://mediabiasfactcheck.com/health-impact-news/,L,M,[],healthimpactnews.com,HealthImpactNews,68.0,HealthyNews2day,
PS,healthline.com,HealthLine,H,https://mediabiasfactcheck.com/healthline/,H,H,[],healthline.com,Healthline,91.0,healthline,
CP,healthranger.com,The Health Ranger,VL,https://mediabiasfactcheck.com/the-health-ranger/,L,L,[],healthranger.com,,45.0,,
CP,healthrangerreport.com,Health Ranger Report,VL,https://mediabiasfactcheck.com/health-ranger-report/,L,L,[],healthrangerreport.com,,40.0,,
CP,healthy-holistic-living.com,Healthy Holistic Living,L,https://mediabiasfactcheck.com/healthy-holistic-living/,L,M,[],healthy-holistic-living.com,healthyholisticliving,61.0,natureheals,
CP,healthy-vibes.com,Healthy Vibes,L,https://mediabiasfactcheck.com/healthy-vibes/,L,N,[],healthy-vibes.com,,9.0,,
CP,healthyandnaturalworld.com,Healthy and Natural World,M,https://mediabiasfactcheck.com/healthy-and-natural-world/,L,M,[],healthyandnaturalworld.com,,52.0,,
CP,healthyfoodhouse.com,Healthy Food House,L,https://mediabiasfactcheck.com/healthy-food-house/,L,L,[],healthyfoodhouse.com,,58.0,,
LC,healthyway.com,HealthyWay,MF,https://mediabiasfactcheck.com/healthyway/,M,M,[],healthyway.com,healthywaymedia,46.0,healthywaymedia,
FN,heartland.org,Heartland Institute,L,https://mediabiasfactcheck.com/heartland-institute/,L,L,"['P', 'LT', 'FFC']",heartland.org,HeartlandInstitute,73.0,heartlandinst,
R,heatst.com,Heat Street,M,https://mediabiasfactcheck.com/heat-street/,M,N,[],heatst.com,marketwatch,60.0,marketwatch,
LC,heavy.com,Heavy,H,https://mediabiasfactcheck.com/heavy/,H,H,[],heavy.com,heavycom,90.0,heavysan,
LC,hechingerreport.org,Hechinger Report,H,https://mediabiasfactcheck.com/hechinger-report-bias/,H,M,[],hechingerreport.org,,,,
C,helenair.com,Independent Record (Montana),H,https://mediabiasfactcheck.com/independent-record-montana/,H,M,[],helenair.com,helenaironline,72.0,helenaironline,
CP,hellochristian.com,Hello Christian,M,https://mediabiasfactcheck.com/hello-christian/,L,L,[],hellochristian.com,hellochristiannews,30.0,HelloChristians,
LC,helvidius.org,Journal Politics and Society,VH,https://mediabiasfactcheck.com/journal-of-politics-and-society/,H,N,[],helvidius.org,helvidius,22.0,,
C,herald-dispatch.com,The Herald-Dispatch,H,https://mediabiasfactcheck.com/the-herald-dispatch/,H,L,[],herald-dispatch.com,,,,
C,herald-review.com,Herald & Review,H,https://mediabiasfactcheck.com/herald-review-illinois/,H,M,[],herald-review.com,HeraldAndReview,69.0,heraldandreview,
C,heraldcoutier.com,Bristol Herald Courier,H,https://mediabiasfactcheck.com/bristol-herald-courier-bias/,H,L,[],heraldcoutier.com,,,,
